% Ag_d130nm_h30nm
% units: lam in nm, alpha in m^3
% lam         Re(alpha_xx)         Im(alpha_xx)         Re(alpha_yy)         Im(alpha_yy)         Re(alpha_zz)         Im(alpha_zz)
400.00      -7.87478288e-22       4.50433274e-22      -7.87478288e-22       4.50433274e-22      -3.14014639e-22       5.95115672e-22
410.00      -8.68067341e-22       5.14291836e-22      -8.68067341e-22       5.14291836e-22       2.56406389e-22       1.34306712e-21
420.00      -9.44097521e-22       5.73257104e-22      -9.44097521e-22       5.73257104e-22       8.00114410e-22       1.10296732e-21
430.00      -1.02026182e-21       6.29079551e-22      -1.02026182e-21       6.29079551e-22       9.44246442e-22       8.48842443e-22
440.00      -1.09225906e-21       6.86307266e-22      -1.09225906e-21       6.86307266e-22       9.70396088e-22       6.89126755e-22
450.00      -1.16678131e-21       7.46924754e-22      -1.16678131e-21       7.46924754e-22       9.71500120e-22       5.79498119e-22
460.00      -1.24520975e-21       8.21236792e-22      -1.24520975e-21       8.21236792e-22       9.56414109e-22       4.93536841e-22
470.00      -1.32626621e-21       9.03947093e-22      -1.32626621e-21       9.03947093e-22       9.38995249e-22       4.29098762e-22
480.00      -1.41222585e-21       9.84720571e-22      -1.41222585e-21       9.84720571e-22       9.27994123e-22       3.80488080e-22
490.00      -1.50096441e-21       1.06951041e-21      -1.50096441e-21       1.06951041e-21       9.18166865e-22       3.41713960e-22
500.00      -1.59474101e-21       1.16451092e-21      -1.59474101e-21       1.16451092e-21       9.07685449e-22       3.08462997e-22
510.00      -1.69348688e-21       1.27088484e-21      -1.69348688e-21       1.27088484e-21       8.97086609e-22       2.79821507e-22
520.00      -1.79702628e-21       1.39003898e-21      -1.79702628e-21       1.39003898e-21       8.86690042e-22       2.54956790e-22
530.00      -1.90267034e-21       1.52733435e-21      -1.90267034e-21       1.52733435e-21       8.75786373e-22       2.33507494e-22
540.00      -2.00826387e-21       1.68308250e-21      -2.00826387e-21       1.68308250e-21       8.65098715e-22       2.15165749e-22
550.00      -2.11861101e-21       1.84862896e-21      -2.11861101e-21       1.84862896e-21       8.56515339e-22       1.98993757e-22
560.00      -2.23707925e-21       2.02034025e-21      -2.23707925e-21       2.02034025e-21       8.50174082e-22       1.84417872e-22
570.00      -2.36071253e-21       2.20619735e-21      -2.36071253e-21       2.20619735e-21       8.44681575e-22       1.71277304e-22
580.00      -2.48409076e-21       2.41708320e-21      -2.48409076e-21       2.41708320e-21       8.38998483e-22       1.59524656e-22
590.00      -2.59912341e-21       2.66332482e-21      -2.59912341e-21       2.66332482e-21       8.32687710e-22       1.49203426e-22
600.00      -2.70275395e-21       2.94561601e-21      -2.70275395e-21       2.94561601e-21       8.26218782e-22       1.40027467e-22
610.00      -2.79612963e-21       3.26152091e-21      -2.79612963e-21       3.26152091e-21       8.20184519e-22       1.31659551e-22
620.00      -2.88260418e-21       3.60864984e-21      -2.88260418e-21       3.60864984e-21       8.14930993e-22       1.23794121e-22
630.00      -2.95775628e-21       3.99020686e-21      -2.95775628e-21       3.99020686e-21       8.10317132e-22       1.16443523e-22
640.00      -3.01169990e-21       4.41320511e-21      -3.01169990e-21       4.41320511e-21       8.06070796e-22       1.09603871e-22
650.00      -3.03099403e-21       4.88505647e-21      -3.03099403e-21       4.88505647e-21       8.01980655e-22       1.03256290e-22
660.00      -2.99761034e-21       5.41042245e-21      -2.99761034e-21       5.41042245e-21       7.97919901e-22       9.74056122e-23
670.00      -2.89100967e-21       5.98823562e-21      -2.89100967e-21       5.98823562e-21       7.93878503e-22       9.19912377e-23
680.00      -2.69416214e-21       6.60820439e-21      -2.69416214e-21       6.60820439e-21       7.89957657e-22       8.69799141e-23
690.00      -2.38318200e-21       7.25634226e-21      -2.38318200e-21       7.25634226e-21       7.86146468e-22       8.23142002e-23
700.00      -1.94114697e-21       7.90422669e-21      -1.94114697e-21       7.90422669e-21       7.82498867e-22       7.79839304e-23
710.00      -1.35390806e-21       8.51815827e-21      -1.35390806e-21       8.51815827e-21       7.79004972e-22       7.39676428e-23
720.00      -6.16720904e-22       9.05660267e-21      -6.16720904e-22       9.05660267e-21       7.75627497e-22       7.01978766e-23
730.00       2.53586887e-22       9.46793331e-21       2.53586887e-22       9.46793331e-21       7.72378682e-22       6.66873384e-23
740.00       1.21684488e-21       9.70634523e-21       1.21684488e-21       9.70634523e-21       7.69271091e-22       6.34163631e-23
750.00       2.21675705e-21       9.74339824e-21       2.21675705e-21       9.74339824e-21       7.66324815e-22       6.04242827e-23
760.00       3.18537624e-21       9.57812403e-21       3.18537624e-21       9.57812403e-21       7.63534558e-22       5.76888990e-23
770.00       4.06424110e-21       9.23915874e-21       4.06424110e-21       9.23915874e-21       7.60904666e-22       5.51819449e-23
780.00       4.81973498e-21       8.77015727e-21       4.81973498e-21       8.77015727e-21       7.58451138e-22       5.28786975e-23
790.00       5.44113107e-21       8.21136289e-21       5.44113107e-21       8.21136289e-21       7.56071631e-22       5.07231970e-23
800.00       5.92787622e-21       7.60243532e-21       5.92787622e-21       7.60243532e-21       7.53758597e-22       4.86808605e-23
