% Al_d160nm_h70nm
% units: lam in nm, alpha in m^3
% lam         Re(alpha_xx)         Im(alpha_xx)         Re(alpha_yy)         Im(alpha_yy)         Re(alpha_zz)         Im(alpha_zz)
400.00       1.71451936e-22       2.48177128e-21       1.71451936e-22       2.48177128e-21       1.01320345e-21       9.70760477e-22
410.00       1.60267171e-22       2.60698017e-21       1.60267171e-22       2.60698017e-21       1.07295054e-21       1.03229453e-21
420.00       1.51408509e-22       2.73602083e-21       1.51408509e-22       2.73602083e-21       1.13428567e-21       1.09178102e-21
430.00       1.45183143e-22       2.86918716e-21       1.45183143e-22       2.86918716e-21       1.19739666e-21       1.14896512e-21
440.00       1.41933623e-22       3.00620746e-21       1.41933623e-22       3.00620746e-21       1.26210165e-21       1.20369922e-21
450.00       1.41774424e-22       3.14706898e-21       1.41774424e-22       3.14706898e-21       1.32838171e-21       1.25579001e-21
460.00       1.45311974e-22       3.29194324e-21       1.45311974e-22       3.29194324e-21       1.39628573e-21       1.30494547e-21
470.00       1.52882311e-22       3.44120179e-21       1.52882311e-22       3.44120179e-21       1.46577543e-21       1.35098173e-21
480.00       1.64747864e-22       3.59524120e-21       1.64747864e-22       3.59524120e-21       1.53706008e-21       1.39368935e-21
490.00       1.81528299e-22       3.75419980e-21       1.81528299e-22       3.75419980e-21       1.60987848e-21       1.43293063e-21
500.00       2.03887999e-22       3.91785701e-21       2.03887999e-22       3.91785701e-21       1.68395668e-21       1.46834537e-21
510.00       2.32711526e-22       4.08600727e-21       2.32711526e-22       4.08600727e-21       1.75897352e-21       1.49964286e-21
520.00       2.68768410e-22       4.25833267e-21       2.68768410e-22       4.25833267e-21       1.83448002e-21       1.52668843e-21
530.00       3.12821790e-22       4.43481694e-21       3.12821790e-22       4.43481694e-21       1.91032754e-21       1.54933328e-21
540.00       3.65609261e-22       4.61492357e-21       3.65609261e-22       4.61492357e-21       1.98608064e-21       1.56755065e-21
550.00       4.27645890e-22       4.79825258e-21       4.27645890e-22       4.79825258e-21       2.06132764e-21       1.58148735e-21
560.00       4.99397965e-22       4.98409579e-21       4.99397965e-22       4.98409579e-21       2.13572766e-21       1.59121035e-21
570.00       5.81606741e-22       5.17221340e-21       5.81606741e-22       5.17221340e-21       2.20904767e-21       1.59698385e-21
580.00       6.75110160e-22       5.36112203e-21       6.75110160e-22       5.36112203e-21       2.28076353e-21       1.59869703e-21
590.00       7.80461283e-22       5.55035814e-21       7.80461283e-22       5.55035814e-21       2.35076061e-21       1.59661509e-21
600.00       8.98203863e-22       5.73890476e-21       8.98203863e-22       5.73890476e-21       2.41871865e-21       1.59102859e-21
610.00       1.02840529e-21       5.92556953e-21       1.02840529e-21       5.92556953e-21       2.48443537e-21       1.58216768e-21
620.00       1.17158483e-21       6.10924057e-21       1.17158483e-21       6.10924057e-21       2.54770902e-21       1.57035011e-21
630.00       1.32774601e-21       6.28802705e-21       1.32774601e-21       6.28802705e-21       2.60823148e-21       1.55581739e-21
640.00       1.49726735e-21       6.46037354e-21       1.49726735e-21       6.46037354e-21       2.66583988e-21       1.53882344e-21
650.00       1.67861915e-21       6.62555038e-21       1.67861915e-21       6.62555038e-21       2.72074642e-21       1.51995941e-21
660.00       1.87140159e-21       6.78281753e-21       1.87140159e-21       6.78281753e-21       2.77298418e-21       1.49947330e-21
670.00       2.07589980e-21       6.93048513e-21       2.07589980e-21       6.93048513e-21       2.82247741e-21       1.47746625e-21
680.00       2.29092092e-21       7.06685801e-21       2.29092092e-21       7.06685801e-21       2.86918233e-21       1.45419454e-21
690.00       2.51500802e-21       7.19054989e-21       2.51500802e-21       7.19054989e-21       2.91302688e-21       1.43006008e-21
700.00       2.74977772e-21       7.30025404e-21       2.74977772e-21       7.30025404e-21       2.95403839e-21       1.40461516e-21
710.00       2.99284556e-21       7.39501256e-21       2.99284556e-21       7.39501256e-21       2.99234335e-21       1.37834224e-21
720.00       3.23899617e-21       7.47371714e-21       3.23899617e-21       7.47371714e-21       3.02800518e-21       1.35227368e-21
730.00       3.48241560e-21       7.53698457e-21       3.48241560e-21       7.53698457e-21       3.06111681e-21       1.32735275e-21
740.00       3.72479570e-21       7.58144840e-21       3.72479570e-21       7.58144840e-21       3.09123005e-21       1.30287207e-21
750.00       3.96766048e-21       7.60715053e-21       3.96766048e-21       7.60715053e-21       3.11854845e-21       1.27827344e-21
760.00       4.20806206e-21       7.61788246e-21       4.20806206e-21       7.61788246e-21       3.14393065e-21       1.25405753e-21
770.00       4.44320594e-21       7.61810304e-21       4.44320594e-21       7.61810304e-21       3.16809868e-21       1.23066630e-21
780.00       4.66574647e-21       7.60988766e-21       4.66574647e-21       7.60988766e-21       3.19115283e-21       1.20934222e-21
790.00       4.86210632e-21       7.59737681e-21       4.86210632e-21       7.59737681e-21       3.21297458e-21       1.19245852e-21
800.00       5.06617025e-21       7.60799656e-21       5.06617025e-21       7.60799656e-21       3.23961759e-21       1.17519760e-21
