% Al_Al2O3_d120nm_h60nm
% units: lam in nm, alpha in m^3
% lam         Re(alpha_xx)         Im(alpha_xx)         Re(alpha_yy)         Im(alpha_yy)         Re(alpha_zz)         Im(alpha_zz)
400.00      -1.39487973e-22       1.83864415e-21      -1.39487973e-22       1.83864415e-21       7.62715271e-22       1.09456638e-21
410.00      -1.30264945e-22       1.94858726e-21      -1.30264945e-22       1.94858726e-21       8.25570136e-22       1.12558392e-21
420.00      -1.15323679e-22       2.06330095e-21      -1.15323679e-22       2.06330095e-21       8.90567840e-22       1.15166285e-21
430.00      -9.32628408e-23       2.18266494e-21      -9.32628408e-23       2.18266494e-21       9.57196919e-22       1.17208998e-21
440.00      -6.34726958e-23       2.30630222e-21      -6.34726958e-23       2.30630222e-21       1.02470784e-21       1.18688895e-21
450.00      -2.50428908e-23       2.43329533e-21      -2.50428908e-23       2.43329533e-21       1.09216516e-21       1.19600125e-21
460.00       2.31872727e-23       2.56280646e-21       2.31872727e-23       2.56280646e-21       1.15868309e-21       1.19936911e-21
470.00       8.18412502e-23       2.69441264e-21       8.18412502e-23       2.69441264e-21       1.22397690e-21       1.19734338e-21
480.00       1.51675378e-22       2.82736863e-21       1.51675378e-22       2.82736863e-21       1.28744706e-21       1.19035782e-21
490.00       2.33496894e-22       2.96080360e-21       2.33496894e-22       2.96080360e-21       1.34878804e-21       1.17865076e-21
500.00       3.28447988e-22       3.09274423e-21       3.28447988e-22       3.09274423e-21       1.40720161e-21       1.16261013e-21
510.00       4.37083418e-22       3.22151116e-21       4.37083418e-22       3.22151116e-21       1.46235872e-21       1.14256245e-21
520.00       5.59639784e-22       3.34494574e-21       5.59639784e-22       3.34494574e-21       1.51389602e-21       1.11916807e-21
530.00       6.95805441e-22       3.46096519e-21       6.95805441e-22       3.46096519e-21       1.56157076e-21       1.09301464e-21
540.00       8.45409152e-22       3.56754762e-21       8.45409152e-22       3.56754762e-21       1.60540299e-21       1.06454670e-21
550.00       1.00707434e-21       3.66272814e-21       1.00707434e-21       3.66272814e-21       1.64537641e-21       1.03436970e-21
560.00       1.17978462e-21       3.74445155e-21       1.17978462e-21       3.74445155e-21       1.68160231e-21       1.00298885e-21
570.00       1.36145117e-21       3.81065197e-21       1.36145117e-21       3.81065197e-21       1.71406947e-21       9.70837379e-22
580.00       1.55013942e-21       3.85977375e-21       1.55013942e-21       3.85977375e-21       1.74291552e-21       9.38156443e-22
590.00       1.74294121e-21       3.89058662e-21       1.74294121e-21       3.89058662e-21       1.76829708e-21       9.05550769e-22
600.00       1.93741882e-21       3.90303846e-21       1.93741882e-21       3.90303846e-21       1.79052469e-21       8.73162198e-22
610.00       2.13056924e-21       3.89727659e-21       2.13056924e-21       3.89727659e-21       1.80990916e-21       8.41352593e-22
620.00       2.32011885e-21       3.87365928e-21       2.32011885e-21       3.87365928e-21       1.82664477e-21       8.10182158e-22
630.00       2.50324643e-21       3.83259185e-21       2.50324643e-21       3.83259185e-21       1.84081068e-21       7.79826341e-22
640.00       2.67761207e-21       3.77573922e-21       2.67761207e-21       3.77573922e-21       1.85266037e-21       7.50518339e-22
650.00       2.84097292e-21       3.70558932e-21       2.84097292e-21       3.70558932e-21       1.86249092e-21       7.22413541e-22
660.00       2.99283805e-21       3.62481951e-21       2.99283805e-21       3.62481951e-21       1.87075153e-21       6.95550970e-22
670.00       3.13235010e-21       3.53523923e-21       3.13235010e-21       3.53523923e-21       1.87755269e-21       6.69859855e-22
680.00       3.25927381e-21       3.43835059e-21       3.25927381e-21       3.43835059e-21       1.88298860e-21       6.45277190e-22
690.00       3.37270582e-21       3.33600474e-21       3.37270582e-21       3.33600474e-21       1.88715304e-21       6.21988530e-22
700.00       3.47396145e-21       3.22905647e-21       3.47396145e-21       3.22905647e-21       1.89011982e-21       5.99616051e-22
710.00       3.56273919e-21       3.12033516e-21       3.56273919e-21       3.12033516e-21       1.89214583e-21       5.78422717e-22
720.00       3.63872445e-21       3.01177790e-21       3.63872445e-21       3.01177790e-21       1.89331319e-21       5.58545168e-22
730.00       3.70213209e-21       2.90644072e-21       3.70213209e-21       2.90644072e-21       1.89392468e-21       5.40373198e-22
740.00       3.75385294e-21       2.80320660e-21       3.75385294e-21       2.80320660e-21       1.89370609e-21       5.23538989e-22
750.00       3.79572776e-21       2.70207370e-21       3.79572776e-21       2.70207370e-21       1.89273065e-21       5.07665362e-22
760.00       3.82925660e-21       2.60525861e-21       3.82925660e-21       2.60525861e-21       1.89141114e-21       4.92995890e-22
770.00       3.85664371e-21       2.51470444e-21       3.85664371e-21       2.51470444e-21       1.89020384e-21       4.79493501e-22
780.00       3.87785763e-21       2.43257000e-21       3.87785763e-21       2.43257000e-21       1.88922568e-21       4.67587921e-22
790.00       3.89211963e-21       2.36225233e-21       3.89211963e-21       2.36225233e-21       1.88869934e-21       4.58029109e-22
800.00       3.91441701e-21       2.30031866e-21       3.91441701e-21       2.30031866e-21       1.89059559e-21       4.48504332e-22
