% Au_d50nm_h70nm
% units: lam in nm, alpha in m^3
% lam         Re(alpha_xx)         Im(alpha_xx)         Re(alpha_yy)         Im(alpha_yy)         Re(alpha_zz)         Im(alpha_zz)
400.00       6.85674732e-23       3.09569219e-22       6.85674732e-23       3.09569219e-22      -8.34452922e-23       3.09077768e-22
410.00       7.28291102e-23       3.16002092e-22       7.28291102e-23       3.16002092e-22      -8.45285104e-23       3.16248404e-22
420.00       7.65645712e-23       3.21051977e-22       7.65645712e-23       3.21051977e-22      -8.48278328e-23       3.22221810e-22
430.00       7.93564138e-23       3.24925574e-22       7.93564138e-23       3.24925574e-22      -8.46899015e-23       3.26722694e-22
440.00       7.80563443e-23       3.30374252e-22       7.80563443e-23       3.30374252e-22      -8.81236811e-23       3.28342791e-22
450.00       7.30341691e-23       3.36640701e-22       7.30341691e-23       3.36640701e-22      -9.41573892e-23       3.27065627e-22
460.00       6.71553502e-23       3.39142408e-22       6.71553502e-23       3.39142408e-22      -9.73216021e-23       3.23356969e-22
470.00       5.96974404e-23       3.42246593e-22       5.96974404e-23       3.42246593e-22      -1.01778278e-22       3.18762253e-22
480.00       4.72637250e-23       3.55602315e-22       4.72637250e-23       3.55602315e-22      -1.16531451e-22       3.14888241e-22
490.00       2.42950918e-23       3.78763668e-22       2.42950918e-23       3.78763668e-22      -1.41689284e-22       3.06544030e-22
500.00      -3.69059330e-24       4.12393283e-22      -3.69059330e-24       4.12393283e-22      -1.72969703e-22       2.96882722e-22
510.00      -2.75566241e-23       4.86156781e-22      -2.75566241e-23       4.86156781e-22      -2.27702264e-22       2.92550647e-22
520.00      -3.06634621e-23       5.70915366e-22      -3.06634621e-23       5.70915366e-22      -2.92173862e-22       2.90731484e-22
530.00      -1.87551358e-23       6.36510979e-22      -1.87551358e-23       6.36510979e-22      -3.53225214e-22       3.01710477e-22
540.00      -9.36984870e-24       7.24629191e-22      -9.36984870e-24       7.24629191e-22      -4.26627840e-22       3.26826551e-22
550.00       2.12755304e-23       8.64638747e-22       2.12755304e-23       8.64638747e-22      -5.08825362e-22       3.61313845e-22
560.00       1.32045451e-22       1.04546545e-21       1.32045451e-22       1.04546545e-21      -5.99816040e-22       4.03027332e-22
570.00       3.79183278e-22       1.18662501e-21       3.79183278e-22       1.18662501e-21      -7.02944451e-22       4.57590353e-22
580.00       7.02449045e-22       1.15821455e-21       7.02449045e-22       1.15821455e-21      -8.20506989e-22       5.32172134e-22
590.00       9.38612227e-22       9.58843233e-22       9.38612227e-22       9.58843233e-22      -9.55517554e-22       6.37866471e-22
600.00       1.02723397e-21       7.22521770e-22       1.02723397e-21       7.22521770e-22      -1.11064000e-21       7.87010017e-22
610.00       1.02402929e-21       5.34700707e-22       1.02402929e-21       5.34700707e-22      -1.28300963e-21       9.93220580e-22
620.00       9.87355453e-22       4.03792083e-22       9.87355453e-22       4.03792083e-22      -1.46543855e-21       1.27183003e-21
630.00       9.43879636e-22       3.11852462e-22       9.43879636e-22       3.11852462e-22      -1.65085769e-21       1.65281278e-21
640.00       9.00395775e-22       2.46117882e-22       9.00395775e-22       2.46117882e-22      -1.79797734e-21       2.18789696e-21
650.00       8.59064150e-22       1.99272980e-22       8.59064150e-22       1.99272980e-22      -1.79159180e-21       2.92470206e-21
660.00       8.20649844e-22       1.66347201e-22       8.20649844e-22       1.66347201e-22      -1.40739423e-21       3.80905766e-21
670.00       7.86558482e-22       1.42280617e-22       7.86558482e-22       1.42280617e-22      -4.87139393e-22       4.54807288e-21
680.00       7.57032854e-22       1.23443278e-22       7.57032854e-22       1.23443278e-22       7.87897688e-22       4.74112957e-21
690.00       7.31241250e-22       1.08449423e-22       7.31241250e-22       1.08449423e-22       1.92329390e-21       4.27757721e-21
700.00       7.08398522e-22       9.63009586e-23       7.08398522e-22       9.63009586e-23       2.58937276e-21       3.48384176e-21
710.00       6.88017722e-22       8.63557701e-23       6.88017722e-22       8.63557701e-23       2.83077011e-21       2.70790596e-21
720.00       6.69829790e-22       7.81473250e-23       6.69829790e-22       7.81473250e-23       2.82834298e-21       2.09118296e-21
730.00       6.53521422e-22       7.12722666e-23       6.53521422e-22       7.12722666e-23       2.71956029e-21       1.63407256e-21
740.00       6.38818374e-22       6.53636478e-23       6.38818374e-22       6.53636478e-23       2.57541111e-21       1.29990674e-21
750.00       6.25444318e-22       6.02251977e-23       6.25444318e-22       6.02251977e-23       2.42769579e-21       1.05341259e-21
760.00       6.13239899e-22       5.56724809e-23       6.13239899e-22       5.56724809e-23       2.28810493e-21       8.67619041e-22
770.00       6.02044931e-22       5.16920653e-23       6.02044931e-22       5.16920653e-23       2.16077416e-21       7.26427073e-22
780.00       5.91755218e-22       4.81906871e-23       5.91755218e-22       4.81906871e-23       2.04667323e-21       6.17210614e-22
790.00       5.82308680e-22       4.50664960e-23       5.82308680e-22       4.50664960e-23       1.94540334e-21       5.31125134e-22
800.00       5.73557701e-22       4.22462616e-23       5.73557701e-22       4.22462616e-23       1.85555844e-21       4.61895688e-22
