% Al_l100nm_w100nm_h40nm
% units: lam in nm, alpha in m^3
% lam         Re(alpha_xx)         Im(alpha_xx)         Re(alpha_yy)         Im(alpha_yy)         Re(alpha_zz)         Im(alpha_zz)
300.00      -2.82353211e-22       6.88794766e-22      -2.82353624e-22       6.88804570e-22       3.48025926e-22       3.69155110e-22
310.00      -3.26523174e-22       7.64374261e-22      -3.26518374e-22       7.64381125e-22       3.87639811e-22       3.89108700e-22
320.00      -3.58885614e-22       8.39454966e-22      -3.58880632e-22       8.39460453e-22       4.25075186e-22       4.04571643e-22
330.00      -3.86478924e-22       9.13751750e-22      -3.86482447e-22       9.13760032e-22       4.61264930e-22       4.16575099e-22
340.00      -4.12144366e-22       9.89118753e-22      -4.12138643e-22       9.89123071e-22       4.96505755e-22       4.25486006e-22
350.00      -4.36411818e-22       1.06698960e-21      -4.36415550e-22       1.06700503e-21       5.30956215e-22       4.31328770e-22
360.00      -4.59290423e-22       1.14852097e-21      -4.59297121e-22       1.14852710e-21       5.64215484e-22       4.34235351e-22
370.00      -4.80210012e-22       1.23466991e-21      -4.80213243e-22       1.23467043e-21       5.96165992e-22       4.34303583e-22
380.00      -4.98882326e-22       1.32600473e-21      -4.98876774e-22       1.32601360e-21       6.26632229e-22       4.31792095e-22
390.00      -5.14728107e-22       1.42306655e-21      -5.14709915e-22       1.42307178e-21       6.55411919e-22       4.26966069e-22
400.00      -5.26906592e-22       1.52637662e-21      -5.26896146e-22       1.52635914e-21       6.82345440e-22       4.20153215e-22
410.00      -5.34513260e-22       1.63630058e-21      -5.34501313e-22       1.63631422e-21       7.07350754e-22       4.11581131e-22
420.00      -5.36416278e-22       1.75311962e-21      -5.36416879e-22       1.75313881e-21       7.30350415e-22       4.01624626e-22
430.00      -5.31245231e-22       1.87697892e-21      -5.31246051e-22       1.87698480e-21       7.51307467e-22       3.90489067e-22
440.00      -5.17823119e-22       2.00738165e-21      -5.17825476e-22       2.00738977e-21       7.70247314e-22       3.78593921e-22
450.00      -4.94679853e-22       2.14358033e-21      -4.94653420e-22       2.14356152e-21       7.87214837e-22       3.66288844e-22
460.00      -4.59975817e-22       2.28500499e-21      -4.59956516e-22       2.28500400e-21       8.02331470e-22       3.53676700e-22
470.00      -4.12649773e-22       2.43108724e-21      -4.12620907e-22       2.43109126e-21       8.15750326e-22       3.40924375e-22
480.00      -3.51480526e-22       2.58122482e-21      -3.51463149e-22       2.58119687e-21       8.27734756e-22       3.28128769e-22
490.00      -2.74709176e-22       2.73353154e-21      -2.74706740e-22       2.73354000e-21       8.38342627e-22       3.15432104e-22
500.00      -1.80855952e-22       2.88595388e-21      -1.80909840e-22       2.88592166e-21       8.47633528e-22       3.02915254e-22
510.00      -6.84440896e-23       3.03571170e-21      -6.84300398e-23       3.03575906e-21       8.55700152e-22       2.90677750e-22
520.00       6.38507014e-23       3.17964716e-21       6.37869220e-23       3.17960765e-21       8.62622377e-22       2.78748161e-22
530.00       2.15630051e-22       3.31435982e-21       2.15722170e-22       3.31435566e-21       8.68504276e-22       2.67196936e-22
540.00       3.86471669e-22       3.43620019e-21       3.86570131e-22       3.43617232e-21       8.73481622e-22       2.56057871e-22
550.00       5.74388961e-22       3.54130576e-21       5.74308476e-22       3.54127299e-21       8.77681142e-22       2.45355237e-22
560.00       7.76297795e-22       3.62624377e-21       7.76308545e-22       3.62621828e-21       8.81155406e-22       2.35164042e-22
570.00       9.89041491e-22       3.68804069e-21       9.89063617e-22       3.68804623e-21       8.83994808e-22       2.25453865e-22
580.00       1.20867718e-21       3.72511626e-21       1.20864466e-21       3.72512071e-21       8.86285001e-22       2.16210663e-22
590.00       1.43086837e-21       3.73628407e-21       1.43087384e-21       3.73627993e-21       8.88088107e-22       2.07439295e-22
600.00       1.65074982e-21       3.72184267e-21       1.65064767e-21       3.72193683e-21       8.89448629e-22       1.99115111e-22
610.00       1.86384729e-21       3.68303209e-21       1.86383802e-21       3.68302820e-21       8.90451970e-22       1.91257691e-22
620.00       2.06622299e-21       3.62163791e-21       2.06624511e-21       3.62162979e-21       8.91145382e-22       1.83817320e-22
630.00       2.25442659e-21       3.54034676e-21       2.25442285e-21       3.54036801e-21       8.91534167e-22       1.76821989e-22
640.00       2.42601912e-21       3.44236781e-21       2.42598034e-21       3.44234101e-21       8.91649283e-22       1.70266562e-22
650.00       2.57936328e-21       3.33267400e-21       2.57928729e-21       3.33270328e-21       8.91580956e-22       1.64095140e-22
660.00       2.71444872e-21       3.21516605e-21       2.71442208e-21       3.21507353e-21       8.91427357e-22       1.58315874e-22
670.00       2.83191257e-21       3.09196316e-21       2.83189141e-21       3.09212035e-21       8.91132821e-22       1.52864709e-22
680.00       2.93194967e-21       2.96618024e-21       2.93194255e-21       2.96604331e-21       8.90720558e-22       1.47746219e-22
690.00       3.01529991e-21       2.83981441e-21       3.01531097e-21       2.83986045e-21       8.90203700e-22       1.42981741e-22
700.00       3.08463206e-21       2.71358455e-21       3.08460147e-21       2.71355178e-21       8.89557566e-22       1.38440864e-22
710.00       3.14051546e-21       2.58906717e-21       3.14052851e-21       2.58914135e-21       8.88771056e-22       1.34128016e-22
720.00       3.18302271e-21       2.47048125e-21       3.18302065e-21       2.47050413e-21       8.87993574e-22       1.30198837e-22
730.00       3.21273797e-21       2.36056596e-21       3.21274610e-21       2.36062667e-21       8.87275898e-22       1.26743150e-22
740.00       3.23099276e-21       2.25676588e-21       3.23105414e-21       2.25699685e-21       8.86463265e-22       1.23681072e-22
